obs_id,flare_number,start_mjd,end_mjd,duration_s,Mean Rate,Max Rate,Energy (1e37erg),Luminosity (1e34),Flux (1e-12),Fluence,Hardness Ratio,Shape
20041,1,57854.35452,57854.38099,2287,0.101 $\pm$ 0.007,0.171 $\pm$ 0.024,18.009 $\pm$ 0.127,7.875 $\pm$ 0.055,9.841 $\pm$ 0.071,230 $\pm$ 1.518,1.255 $\pm$ 0.167,2
19703,1,57949.96065,57950.01401,4610,0.013 $\pm$ 0.002,0.026 $\pm$ 0.010,3.357 $\pm$ 0.122,0.728 $\pm$ 0.026,0.910 $\pm$ 0.033,61 $\pm$ 0.104,0.968 $\pm$ 0.248,1
19703,2,57950.55188,57950.56589,1210,0.033 $\pm$ 0.005,0.049 $\pm$ 0.013,2.901 $\pm$ 0.032,2.398 $\pm$ 0.026,2.997 $\pm$ 0.033,40 $\pm$ 0.208,1.500 $\pm$ 0.484,1
20346,1,58232.20941,58232.24803,3336,0.116 $\pm$ 0.006,0.323 $\pm$ 0.033,31.448 $\pm$ 0.116,9.426 $\pm$ 0.035,11.779 $\pm$ 0.047,388 $\pm$ 2.289,1.296 $\pm$ 0.133,2
21454,1,58572.24991,58572.26526,1326,0.106 $\pm$ 0.009,0.218 $\pm$ 0.027,11.044 $\pm$ 0.070,8.327 $\pm$ 0.053,10.405 $\pm$ 0.068,140 $\pm$ 1.246,1.692 $\pm$ 0.296,2
21454,2,58572.45978,58572.47792,1568,0.044 $\pm$ 0.005,0.122 $\pm$ 0.021,4.930 $\pm$ 0.083,3.145 $\pm$ 0.053,3.930 $\pm$ 0.067,69 $\pm$ 0.366,1.654 $\pm$ 0.411,1
21456,1,58574.47617,58574.49311,1464,0.031 $\pm$ 0.005,0.052 $\pm$ 0.014,3.258 $\pm$ 0.056,2.226 $\pm$ 0.039,2.781 $\pm$ 0.048,46 $\pm$ 0.212,1.300 $\pm$ 0.387,2
22230,1,58682.13507,58682.14852,1162,0.064 $\pm$ 0.007,0.115 $\pm$ 0.020,5.689 $\pm$ 0.045,4.894 $\pm$ 0.038,6.116 $\pm$ 0.049,74 $\pm$ 0.548,0.850 $\pm$ 0.198,1
20446,1,58685.07776,58685.08549,668,0.033 $\pm$ 0.007,0.040 $\pm$ 0.012,1.542 $\pm$ 0.018,2.308 $\pm$ 0.028,2.884 $\pm$ 0.035,22 $\pm$ 0.154,0.833 $\pm$ 0.357,1
20751,1,58715.15696,58715.22626,5987,0.193 $\pm$ 0.006,0.897 $\pm$ 0.049,94.743 $\pm$ 0.274,15.825 $\pm$ 0.046,19.776 $\pm$ 0.065,1154 $\pm$ 6.578,1.542 $\pm$ 0.093,3
