obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
15045,15045_SGRA_TABLE_RESULTS.txt,1,56593.6715066504,56593.6981197756,2299.3632000000002,0.0308,0.0038,0.0376,0.0122,4.9098,10.2993,2.1353,4.4792,2.6684,5.5975,70.7986
15045,15045_SGRA_TABLE_RESULTS.txt,2,56593.8274951275,56593.8384486763,946.4256,0.0283,0.0057,0.041,0.0127,1.8236,6.2891,1.9268,6.6451,2.4078,8.3041,26.7974
5953,05953_SGRA_TABLE_RESULTS.txt,1,53581.9306907625,53581.9555373808,2146.7808,0.0522,0.0049,0.0894,0.0155,8.6051,12.2893,4.0084,5.7245,5.0092,7.1538,111.9712
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.357766536,56516.4875383058,11212.300799999999,0.0151,0.0013,0.0489,0.014,10.7313,18.5423,0.9571,1.6537,1.1961,2.0666,169.2525
1561,01561_SGRA_TABLE_RESULTS.txt,1,51844.1051536376,51844.1128804099,667.6128,0.0359,0.0072,0.0421,0.0112,1.7242,5.596,2.5827,8.3821,3.2275,10.4748,23.9998
1561,01561_SGRA_TABLE_RESULTS.txt,2,51844.1588659553,51844.2795123523,10423.900800000001,0.0909,0.003,0.3913,0.0224,75.191,36.4975,7.2133,3.5013,9.0143,4.3755,948.0
18731,18731_SGRA_TABLE_RESULTS.txt,1,57581.9520631348,57581.9625245837,903.8303999999999,0.0361,0.0063,0.0639,0.0152,2.3243,6.5857,2.5716,7.2864,3.2137,9.1056,32.61
3663,03663_SGRA_TABLE_RESULTS.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0215,0.0021,0.0451,0.0117,6.3238,11.9731,1.3355,2.5285,1.6689,3.1598,101.8132
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.4300207317,55966.4544349776,2109.3696,0.0215,0.0032,0.0392,0.0112,3.6598,9.7598,1.735,4.6269,2.1682,5.7821,45.4547
14392,14392_SGRA_TABLE_RESULTS.txt,2,55966.5986448471,55966.6639426611,5641.6608,0.1686,0.0055,0.369,0.0289,107.5407,44.4761,19.0619,7.8835,23.821,9.8518,951.0
15043,15043_SGRA_TABLE_RESULTS.txt,1,56549.0852479914,56549.1493475096,5538.153599999999,0.6804,0.0111,1.8647,0.0616,313.3324,71.4826,56.5771,12.9073,70.7026,16.1302,3768.0
5952,05952_SGRA_TABLE_RESULTS.txt,1,53581.1097515494,53581.1501751383,3492.6336,0.0217,0.0025,0.0406,0.0112,4.7217,10.2697,1.3519,2.9404,1.6894,3.6745,75.7944
20751,20751_SGRA_TABLE_RESULTS.txt,1,58715.156961405,58715.2262554391,5987.0016000000005,0.2235,0.0061,0.8814,0.0492,110.1495,42.7193,18.3981,7.1353,22.9915,8.9169,1338.0
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.02,0.002,0.0349,0.0107,8.3503,14.6596,1.6703,2.9323,2.0873,3.6644,99.7944
14427,14427_SGRA_TABLE_RESULTS.txt,2,56054.472124744,56054.4975012336,2192.4864,0.0192,0.003,0.0349,0.0107,3.4735,9.4158,1.5843,4.2946,1.9798,5.3668,42.165
13857,13857_SGRA_TABLE_RESULTS.txt,1,56003.6701941419,56003.6760472825,505.69919999999996,0.0373,0.0084,0.0352,0.0112,1.8061,6.1032,3.5715,12.0688,4.4631,15.082,18.856
23666,23666_SGRA_TABLE_RESULTS.txt,1,59315.5674243423,59315.5751048431,663.6384,0.0297,0.0066,0.0456,0.0127,1.3696,5.0823,2.0637,7.6582,2.579,9.5702,19.7355
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.8122561849,56217.8742720065,5358.182400000001,0.0859,0.004,0.2163,0.0246,50.4527,30.8822,9.416,5.7636,11.7669,7.2026,460.0
