obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,hardness_ratio,hardness_ratio_err,Shape
13016,13016_SGRA_TABLE_RESULTS.txt,1,55649.448992503,55649.4726799441,2046.5568,0.0166,0.0028,0.022,0.0083,2.2067,0.084,1.0782,0.041,1.3474,0.0513,33.9994,0.0952,1.6153846153846200,0.5700777322844750,1
11843,11843_SGRA_TABLE_RESULTS.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1041,0.0054,0.2705,0.0214,29.3224,0.087,8.2462,0.0245,10.305,0.0347,370.004,1.9980216,2.1623931623931600,0.2417588215302060,3
10556,10556_SGRA_TABLE_RESULTS.txt,4,54970.0408161481,54970.0476329314,588.9888,0.0849,0.012,0.1203,0.0172,3.9484,0.0171,6.7037,0.029,8.3774,0.0386,50.0016,0.6000192,1.9411764705882400,0.5795202153786930,2
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9654679711,54969.9855184027,1732.32,0.0906,0.0072,0.1785,0.0194,12.4492,0.0502,7.1865,0.029,8.9807,0.0389,156.9966,1.1304,2.5681818181818200,0.456362586841505,1
10556,10556_SGRA_TABLE_RESULTS.txt,2,54969.4084185051,54969.4500645368,3598.2144000000000,0.0242,0.0026,0.0494,0.0122,5.7265,0.1043,1.5915,0.029,1.9888,0.0364,86.9999,0.2262,1.2307692307692300,0.2653281533854080,1
10556,10556_SGRA_TABLE_RESULTS.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0409,0.0058,0.0585,0.0131,3.5933,0.0347,2.9985,0.029,3.7471,0.0367,49.0002,0.2842,1.45,0.4214558102577300,1
9173,09173_SGRA_TABLE_RESULTS.txt,1,54673.90630603,54674.0419969663,11723.7024,0.0086,0.0009,0.0299,0.0095,4.955,0.4621,0.4227,0.0394,0.5282,0.0493,101.0,0.0909,1.4634146341463400,0.29652446226485900,1
6363,06363_SGRA_TABLE_RESULTS.txt,1,53933.2490317925,53933.280367879,2707.4304,0.0558,0.0045,0.1378,0.0179,11.6636,0.1051,4.308,0.0388,5.3836,0.0492,151.0,0.6795,2.5952380952381000,0.4713329342511900,1
5953,05953_SGRA_TABLE_RESULTS.txt,1,53581.926964679,53581.9555373808,2468.7072000000000,0.0421,0.0041,0.0888,0.0155,7.704,0.0776,3.1207,0.0314,3.8998,0.0398,104.0011,0.4264,1.3111111111111100,0.25949195906146700,2
5952,05952_SGRA_TABLE_RESULTS.txt,1,53581.0891398826,53581.155737017,5753.9808,0.0169,0.0017,0.0402,0.0112,5.7715,0.2338,1.0031,0.0406,1.2535,0.0508,96.9998,0.1649,0.94,0.19097643833729900,2
4684,04684_SGRA_TABLE_RESULTS.txt,1,53193.1433966282,53193.1627183719,1669.4208,0.0665,0.0063,0.134,0.0179,8.5037,0.0608,5.0938,0.0364,6.3655,0.0466,111.0015,0.6993,1.9210526315789500,0.38427977215330100,2
3393,03393_SGRA_TABLE_RESULTS.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0571,0.0074,0.0786,0.0147,4.543,0.0275,4.3961,0.0266,5.4936,0.0343,59.0003,0.4366,1.4583333333333300,0.38649436414845500,1
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2419681175,52423.3009367529,5094.9216,0.031,0.0025,0.1007,0.0162,11.2095,0.1355,2.2001,0.0266,2.7494,0.0335,158.001,0.3950025,2.0384615384615400,0.3451250325898770,2
3393,03393_SGRA_TABLE_RESULTS.txt,1,52422.637211519,52422.6752940158,3290.3712,0.0802,0.0049,0.3548,0.0224,20.8762,0.0875,6.3446,0.0266,7.9287,0.0355,264.0,1.2936,1.7789473684210500,0.22811818515925000,2
3392,03392_SGRA_TABLE_RESULTS.txt,3,52421.2367785838,52421.2489758648,1053.8208,0.0275,0.0051,0.0288,0.0096,2.0247,0.0266,1.9213,0.0252,2.401,0.0318,28.9993,0.1479,1.9,0.7422937423958260,2
3392,03392_SGRA_TABLE_RESULTS.txt,2,52420.568998866,52420.6309489083,5352.48,0.0123,0.0015,0.0327,0.0101,3.4391,0.135,0.6425,0.0252,0.8029,0.0316,66.0,0.099,0.8333333333333330,0.20600551353043500,1
3392,03392_SGRA_TABLE_RESULTS.txt,1,52420.1753393984,52420.2104408491,3032.7264,0.0218,0.0027,0.045,0.0117,4.357,0.0765,1.4367,0.0252,1.7953,0.0317,65.9992,0.1782,2.0,0.5222329678670940,1
3663,03663_SGRA_TABLE_RESULTS.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0213,0.0021,0.0472,0.0117,6.2563,0.19,1.3212,0.0401,1.6511,0.0502,100.9999,0.2121,1.7297297297297300,0.3572301350609890,2
1561,01561_SGRA_TABLE_RESULTS.txt,2,51844.1581720461,51844.2795123523,10483.8624,0.0643,0.0025,0.3671,0.0226,52.1277,0.5136,4.9722,0.049,6.2136,0.062,674.0,1.685,1.8927038626609400,0.1532905425916320,3
1561,01561_SGRA_TABLE_RESULTS.txt,1,51844.1051536376,51844.1128804099,667.6128,0.033,0.007,0.0398,0.0112,1.5581,0.0327,2.3338,0.049,2.9165,0.0614,22.0006,0.1540042,1.2,0.5138093031466050,1
