obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,hardness_ratio,Shape,median_rate,median_rate_err
1561,01561_SGRA_TABLE_RESULTS.txt,1,51844.1051536376,51844.1128804099,667.6128,0.037,0.0073,0.0421,0.0112,1.6472,0.4058,2.4673,0.6079,3.271,0.8059,24.6768,1.2,1,0.037978655037374465,0.0036622435934940173
1561,01561_SGRA_TABLE_RESULTS.txt,2,51844.1588659553,51844.2795123523,10423.9008,0.0935,0.003,0.3913,0.0224,71.0809,2.6266,6.819,0.252,9.0403,0.3344,975.0,1.92640692640693,3,0.07331432823984353,0.01979079668458004
18731,18731_SGRA_TABLE_RESULTS.txt,1,57581.9520631348,57581.9625245837,903.8304,0.0358,0.0063,0.0639,0.0152,2.1079,0.4676,2.3322,0.5173,3.0919,0.6859,32.3862,1.46153846153846,1,0.02969249520831543,0.012343267537932261
3663,03663_SGRA_TABLE_RESULTS.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0205,0.0021,0.0451,0.0117,5.4845,0.8339,1.1582,0.1761,1.5355,0.2335,97.251,1.68571428571429,2,0.017288178493548634,0.0031393915422208516
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.4300207317,55966.4544349776,2109.3696,0.0222,0.0032,0.0392,0.0112,2.4495,0.8039,1.1613,0.3811,1.5395,0.5053,46.8082,1.50877192982456,1,0.02105818987082412,0.003947246639519129
14392,14392_SGRA_TABLE_RESULTS.txt,2,55966.5986448471,55966.6639426611,5641.6608,0.1668,0.0054,0.369,0.0289,69.3059,3.6056,12.2847,0.6391,16.2863,0.8477,941.0,1.92634560906516,3,0.16343521940525946,0.029562264909953267
15043,15043_SGRA_TABLE_RESULTS.txt,1,56549.0852479914,56549.1493475096,5538.24,0.6908,0.0112,1.9915,0.062,291.6561,5.1132,52.6622,0.9232,69.8164,1.2293,3826.0,1.73642645607108,3,0.6666345648164714,0.17210045996292808
5952,05952_SGRA_TABLE_RESULTS.txt,1,53581.1097515494,53581.1501751383,3492.6336,0.0213,0.0025,0.0406,0.0112,4.2212,0.7245,1.2086,0.2074,1.6023,0.275,74.4007,1.05714285714286,2,0.020917152285797307,0.0033662660193204876
20751,20751_SGRA_TABLE_RESULTS.txt,1,58715.156961405,58715.2262554391,5987.0016,0.2258,0.0061,0.8814,0.0492,101.6505,3.0488,16.9785,0.5092,22.5091,0.6761,1352.0,1.54222222222222,3,0.11883130390827229,0.08192657112724641
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.0198,0.002,0.0349,0.0107,5.3982,1.1889,1.0798,0.2378,1.4315,0.3153,98.8182,1.45736434108527,2,0.020661134271834625,0.0026954710517310076
14427,14427_SGRA_TABLE_RESULTS.txt,2,56054.472124744,56054.4975012336,2192.4864,0.019,0.0029,0.0349,0.0107,2.2446,0.7584,1.0238,0.3459,1.3573,0.4586,41.7408,1.47457627118644,1,0.017175943203255082,0.0038036606277023145
13857,13857_SGRA_TABLE_RESULTS.txt,1,56003.6701941419,56003.6760472825,505.6992,0.0329,0.0079,0.0352,0.0112,1.0759,0.469,2.1276,0.9275,2.8207,1.2297,16.6617,2.28571428571429,1,0.030688685781791535,0.003962314182890723
23666,23666_SGRA_TABLE_RESULTS.txt,1,59315.5674243423,59315.5751048431,663.6384,0.0312,0.0067,0.0456,0.0127,1.3209,0.3702,1.9904,0.5578,2.6388,0.7395,20.7363,1.85714285714286,1,0.03020712600610672,0.013655570033357234
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.8122561849,56217.8742720065,5358.1824,0.0855,0.004,0.2163,0.0246,32.821,2.5113,6.1254,0.4687,8.1207,0.6215,458.0,1.81818181818182,2,0.07063104419144961,0.019828713049030822
