obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,Shape,hardness_ratio,hardness_ratio_err,median_rate,median_rate_err,snr
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.912,0.0551,0.0077,0.0767,0.0155,5.2964,10.2625,5.7264,11.0957,7.1561,13.8659,50.998,2,1.4736842105263200,0.3097294814104080,0.05375075222855880,0.009358043275679820,7.452757826526900
10556,10556_SGRA_TABLE_RESULTS.txt,4,54970.0408161481,54970.0476329314,588.9888,0.0849,0.012,0.1203,0.0172,3.9484,8.2273,6.7037,13.9685,8.3774,17.456,50.0016,2,1.9411764705882400,0.5795202153786930,0.08483541846498300,0.031406908351528200,4.746867652303820
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0517,0.0073,0.0696,0.0147,4.9723,10.2546,5.1393,10.599,6.4224,13.2453,49.9988,1,1.2,0.2569046515733030,0.058195660141116600,0.008913272469088560,3.199386101575580
10556,10556_SGRA_TABLE_RESULTS.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0409,0.0058,0.0585,0.0131,3.5933,8.1554,2.9985,6.8054,3.7471,8.5045,49.0002,1,1.45,0.4214558102577300,0.04503275748298290,0.006112224445772300,2.4427847230385000
21456,21456_SGRA_TABLE_RESULTS.txt,1,58574.4761701491,58574.4931112524,1463.7024,0.0314,0.0046,0.052,0.0138,3.2578,7.9265,2.2257,5.4154,2.7814,6.7674,45.9997,2,1.3,0.3866522985836240,0.036954018290943100,0.006580801683622570,8.078803601844660
16508,16508_SGRA_TABLE_RESULTS.txt,1,56710.0215563601,56710.0467113822,2173.392,0.0209,0.0032,0.0396,0.0122,3.0366,8.1922,1.3972,3.7693,1.746,4.7104,45.3804,1,2.769230769230770,0.8960541631330620,0.020024759698014300,0.004325239481434600,1.167221394276330
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.4300207317,55966.4544895131,2114.1216,0.0213,0.0032,0.039,0.0112,3.4806,9.7677,1.6463,4.6202,2.0574,5.7737,45.0004,1,1.5087719298245600,0.257694388084062,0.020921388006641900,0.0039027561898965000,0.3719868676148050
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0546,0.0082,0.0658,0.0143,4.419,9.5994,5.4842,11.9134,6.8534,14.8878,43.9985,1,1.6451612903225800,0.3746704772195820,0.06198811584650460,0.0033601339467266800,3.4912787658003800
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.0244,0.0038,0.0278,0.0096,3.5059,9.3315,2.0333,5.4118,2.5409,6.763,42.0003,1,2.1578947368421100,0.4234695177041100,0.026018087847162400,0.002088301102233570,3.7778496549753500
14465,14465_SGRA_TABLE_RESULTS.txt,2,56127.1819307434,56127.2080320547,2255.1264,0.0182,0.0028,0.0325,0.0101,3.2855,9.3261,1.4569,4.1355,1.8206,5.168,40.9995,1,1.4615384615384600,0.263030896696957,0.01799160351526850,0.0034203166127391600,2.830926314258060
